t_wall,scan_stamp_sec,odom_stamp_sec,camera_stamp_sec,goal_stamp_sec,goal_x,goal_y,camera_h,camera_w,velocity,goal_distance,goal_angle,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,state_13,state_14,state_15,state_16,state_17
1774177489.929505,477.859000,477.947000,477.871000,1774177489.831201,2.000000,2.000000,480,640,0.001807,2.249511,-0.634529,0.901513,1.001790,1.400943,3.274197,1.835402,1.452779,3.154141,3.287606,1.246330,1.218588,9.465017,9.465017,9.465017,0.974394,0.901051,0.001807,2.249511,-0.634529
1774177490.029479,477.959000,478.047000,477.971000,1774177489.831201,2.000000,2.000000,480,640,0.001529,2.249547,-0.698365,0.905606,1.036464,1.520153,4.226851,1.662390,1.451528,3.159565,2.615301,1.220753,1.276759,9.441704,9.441704,1.227905,0.951719,0.901417,0.001529,2.249547,-0.698365
1774177490.129369,478.059000,478.147000,478.071000,1774177490.031212,2.000000,2.000000,480,640,0.001603,2.249575,-0.762101,0.913799,1.078160,1.667817,5.080715,1.524193,1.441880,3.146665,2.185226,1.231124,9.418713,9.418713,9.418713,1.162755,0.934274,0.902197,0.001603,2.249575,-0.762101
1774177490.229512,478.159000,478.247000,478.172000,1774177490.031212,2.000000,2.000000,480,640,0.001350,2.249597,-0.825637,0.926415,1.128966,1.857846,3.055304,1.439929,1.471169,3.152758,1.887869,1.224961,9.441841,9.441841,9.441841,1.109147,0.921622,0.903442,0.001350,2.249597,-0.825637
1774177490.334196,478.259000,478.347000,478.271000,1774177490.231229,2.000000,2.000000,480,640,0.000701,2.249612,-0.888909,0.943795,1.190698,2.108525,2.557011,1.430766,3.138003,3.246504,1.671430,1.232332,9.417923,9.417923,9.417923,1.065150,0.913440,0.905071,0.000701,2.249613,-0.888909
1774177490.429640,478.359000,478.447000,478.372000,1774177490.231229,2.000000,2.000000,480,640,0.001178,2.249625,-0.951782,0.965630,1.263348,2.442798,2.205621,1.427356,3.143739,3.952259,1.507938,1.238449,9.440396,9.440396,9.440396,1.029253,0.909471,0.907095,0.001178,2.249625,-0.951782
1774177490.529833,478.459000,478.547000,478.472000,1774177490.431286,2.000000,2.000000,480,640,0.001683,2.249626,-1.014251,0.992936,1.352666,2.912484,1.945411,1.418844,3.129129,4.136765,1.380881,1.232558,9.414727,9.414727,9.414727,1.000286,0.909553,0.909541,0.001683,2.249626,-1.014251
1774177490.629502,478.559000,478.647000,478.572000,1774177490.431286,2.000000,2.000000,480,640,0.003231,2.249648,-1.076483,1.025998,1.458673,3.614024,1.745914,1.414984,3.134897,3.164987,1.280084,1.237023,9.388686,9.388686,1.291920,0.977347,0.912294,0.914560,0.003231,2.249648,-1.076483
1774177490.729258,478.659000,478.747000,478.671000,1774177490.631317,2.000000,2.000000,480,640,0.001869,2.249704,-1.138726,1.065770,1.591785,4.774837,1.587880,1.406312,3.120273,2.578190,1.243359,1.283545,9.408826,9.408826,1.222513,0.959663,0.915499,0.923592,0.001869,2.249704,-1.138726
1774177490.829417,478.759000,478.847000,478.771000,1774177490.631317,2.000000,2.000000,480,640,0.000177,2.249762,-1.200337,1.113544,1.755807,5.038880,1.460568,1.402146,3.125744,2.187805,1.241357,9.382013,9.382013,9.382013,1.165535,0.946697,0.918954,0.936635,0.000177,2.249762,-1.200337
1774177490.929534,478.859000,478.947000,478.871000,1774177490.831280,2.000000,2.000000,480,640,0.003898,2.249861,-1.261621,1.168944,1.960948,2.837373,1.393737,1.440180,3.111378,1.910593,1.236096,9.400939,9.400939,9.400939,1.118743,0.938073,0.922743,0.953857,0.003898,2.249861,-1.261621
1774177491.029798,478.959000,479.047000,478.971000,1774177490.831280,2.000000,2.000000,480,640,0.000992,2.249960,-1.322071,1.235738,2.231868,2.405194,1.390116,3.110331,3.274203,1.704697,1.238783,9.372298,9.372298,9.372298,1.080520,0.933527,0.926803,0.975468,0.000992,2.249959,-1.322071
1774177491.132215,479.059000,479.147000,479.072000,1774177491.031293,2.000000,2.000000,480,640,0.000372,2.250067,-1.381650,1.312795,2.588573,2.094259,1.380171,3.103756,3.994663,1.546909,1.241718,9.388482,9.388482,9.388482,1.049544,0.932772,0.931128,1.001626,0.000372,2.250067,-1.381650
