t_wall,episode,step,raw_action_0,raw_action_1,cmd_linear_x,cmd_angular_z,pos_x,pos_y,goal_distance,goal_angle,linear_x,angular_z,lidar_min,done,terminated,truncated,terminal_reason,reward_total,reward_progress,reward_safe,reward_risk,reward_turn,reward_stop,reward_smooth,reward_terminal,lidar_feat_0,lidar_feat_1,lidar_feat_2,lidar_feat_3,lidar_feat_4,lidar_feat_5,lidar_feat_6,lidar_feat_7,lidar_feat_8,lidar_feat_9,lidar_feat_10,lidar_feat_11,lidar_feat_12,lidar_feat_13,lidar_feat_14
1774537245.627549,227,22,0.999909,-0.889409,0.999909,-1.778818,-1.993410,-2.383690,0.357353,0.179854,0.976903,-1.784002,1000.000000,0,0,0,,1.163924,0.087421,0.000000,-0.000000,-0.089200,0.000000,-0.001306,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537245.816501,227,23,0.997199,0.529122,0.997199,1.058243,-2.152814,-2.477658,0.177081,0.245297,0.983654,1.063480,1000.000000,1,1,0,success,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537246.249606,228,1,0.997902,-0.820914,0.997902,-1.641827,0.025544,0.000186,1.638986,1.474389,0.383136,0.009094,1000.000000,0,0,0,,0.080685,0.001257,0.000000,-0.000000,-0.000455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537246.428789,228,2,0.999916,0.994147,0.999916,1.988294,0.140401,0.001639,1.630646,1.510575,0.837198,0.870664,1000.000000,0,0,0,,-0.009342,0.004170,0.000000,-0.000000,-0.043533,0.000000,-0.036321,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537246.619328,228,3,0.999973,0.990922,0.999973,1.981845,0.317737,0.035674,1.601946,1.293468,0.974124,1.991743,1000.000000,0,0,0,,0.238992,0.014350,0.000000,-0.000000,-0.099587,0.000000,-0.000065,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537246.799527,228,4,0.999816,0.999036,0.999816,1.998072,0.466757,0.125689,1.532948,1.034197,0.973746,2.006506,1000.000000,0,0,0,,0.539417,0.034499,0.000000,-0.000000,-0.100325,0.000000,-0.000164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537246.979219,228,5,0.999981,0.995342,0.999981,1.990683,0.574348,0.262495,1.424646,0.766099,0.974185,1.997002,1000.000000,0,0,0,,0.807809,0.054151,0.000000,-0.000000,-0.099850,0.000000,-0.000076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537247.159317,228,6,0.999835,0.982381,0.999835,1.964763,0.627766,0.429210,1.282856,0.492297,0.976684,1.946312,1000.000000,0,0,0,,1.018490,0.070895,0.000000,-0.000000,-0.097316,0.000000,-0.000261,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537247.342157,228,7,0.999892,0.997534,0.999892,1.995069,0.622127,0.607617,1.115101,0.210111,0.998021,1.831707,1000.000000,0,0,0,,1.164437,0.083878,0.000000,-0.000000,-0.091585,0.000000,-0.000304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537247.520699,228,8,0.999987,0.575182,0.999987,1.150364,0.568066,0.775995,0.939224,0.008956,0.982539,1.159576,1000.000000,0,0,0,,1.210987,0.087938,0.000000,-0.000000,-0.057979,0.000000,-0.008448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
